Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	graph40_1	agents3_max5_1	50	100	200	903,03	113,8892
GreedySearch	graph40_1	agents3_max5_1	50	100	200	887,28	39,5016
GreedySearch	graph40_1	agents3_max5_1	50	100	200	813,64	33,1037
GreedySearch	graph40_1	agents3_max5_1	50	100	200	782,72	32,1045
GreedySearch	graph40_1	agents3_max5_1	50	100	200	824,73	33,0338
GreedySearch	graph40_1	agents3_max5_1	50	100	200	738,8	40,34
GreedySearch	graph40_1	agents3_max5_1	50	100	200	709,39	31,8489
GreedySearch	graph40_1	agents3_max5_1	50	100	200	837,32	32,8529
GreedySearch	graph40_1	agents3_max5_1	50	100	200	761,62	33,0764
GreedySearch	graph40_1	agents3_max5_1	50	100	200	666,54	32,2376
GreedySearch	graph40_1	agents3_max5_1	50	100	200	828,03	31,7644
GreedySearch	graph40_1	agents3_max5_1	50	100	200	793,1	31,5025
GreedySearch	graph40_1	agents3_max5_1	50	100	200	857,18	35,5814
GreedySearch	graph40_1	agents3_max5_1	50	100	200	735,62	31,9586
GreedySearch	graph40_1	agents3_max5_1	50	100	200	804,64	31,837
GreedySearch	graph40_1	agents3_max5_1	50	100	200	830,54	31,578
GreedySearch	graph40_1	agents3_max5_1	50	100	200	825,09	37,7216
GreedySearch	graph40_1	agents3_max5_1	50	100	200	763,97	38,0134
GreedySearch	graph40_1	agents3_max5_1	50	100	200	851,33	37,6294
GreedySearch	graph40_1	agents3_max5_1	50	100	200	832,47	47,188
GreedySearch	graph40_1	agents3_max5_1	50	100	200	732,49	33,2155
GreedySearch	graph40_1	agents3_max5_1	50	100	200	785,59	32,657
GreedySearch	graph40_1	agents3_max5_1	50	100	200	767,38	38,5412
GreedySearch	graph40_1	agents3_max5_1	50	100	200	767,32	36,3434
GreedySearch	graph40_1	agents3_max5_1	50	100	200	870,09	32,439
GreedySearch	graph40_1	agents3_max5_1	50	100	200	869,2	32,0328
GreedySearch	graph40_1	agents3_max5_1	50	100	200	812,51	37,0816
GreedySearch	graph40_1	agents3_max5_1	50	100	200	835,18	32,0422
GreedySearch	graph40_1	agents3_max5_1	50	100	200	823,08	31,9782
GreedySearch	graph40_1	agents3_max5_1	50	100	200	796,51	32,6084
GreedySearch	graph40_1	agents3_max5_1	50	100	200	736,67	32,3281
GreedySearch	graph40_1	agents3_max5_1	50	100	200	809,71	32,4309
GreedySearch	graph40_1	agents3_max5_1	50	100	200	876,7	31,9829
GreedySearch	graph40_1	agents3_max5_1	50	100	200	864,54	36,8281
GreedySearch	graph40_1	agents3_max5_1	50	100	200	896,06	35,4461
GreedySearch	graph40_1	agents3_max5_1	50	100	200	847,76	37,6443
GreedySearch	graph40_1	agents3_max5_1	50	100	200	849,99	35,6279
GreedySearch	graph40_1	agents3_max5_1	50	100	200	737,77	34,9981
GreedySearch	graph40_1	agents3_max5_1	50	100	200	816,86	31,8161
GreedySearch	graph40_1	agents3_max5_1	50	100	200	688,92	32,1757
GreedySearch	graph40_1	agents3_max5_1	50	100	200	827,69	33,3354
GreedySearch	graph40_1	agents3_max5_1	50	100	200	797,06	32,0669
GreedySearch	graph40_1	agents3_max5_1	50	100	200	800,15	32,3093
GreedySearch	graph40_1	agents3_max5_1	50	100	200	779,69	31,7905
GreedySearch	graph40_1	agents3_max5_1	50	100	200	775,42	47,3813
GreedySearch	graph40_1	agents3_max5_1	50	100	200	783,11	33,018
GreedySearch	graph40_1	agents3_max5_1	50	100	200	750,61	31,7819
GreedySearch	graph40_1	agents3_max5_1	50	100	200	876,17	31,6881
